url,budget,boxOffice,isWinner,oscarWins,oscarNom,Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Metascore,imdbRating,imdbVotes,imdbID,tomatoMeter,tomatoRating,tomatoReviews,tomatoFresh,tomatoRotten,tomatoUserMeter,tomatoUserRating,tomatoUserReviews,DVD,Production,Decade
https://en.wikipedia.org/wiki/Seventh_Heaven_(1927_film),1300000,2500000,false,3,5,7th Heaven,1927-01-31T21:00:00.000Z,NOT RATED,1927-05-05T21:00:00.000Z,110,Drama,Frank Borzage,"Austin Strong (play), Benjamin Glazer (screenplay), H.H. Caldwell (titles), Katherine Hilliker (titles)","Janet Gaynor, Charles Farrell, Ben Bard, Albert Gran","In Paris, in the early years of the twentieth century, lives Chico, a sewer worker with lofty aspirations. One night, Chico saves a young prostitute named Diane from the murderous rage of her tyrannical sister. Despite her lifestyle, Diane is honest and innocent, and when the police arrive to arrest her, Chico spontaneously claims that she is his wife. Forced to maintain this facade or else both face prison sentences, Chico reluctantly allows Diane to live with him -- and in the process, love gradually blossoms between them. However, the dark spectre of World War I has begun to descend upon France, and Chico and Diane cannot help but fall under its shadow.",English,USA,0,7.8,1925,tt0018379,100,9.3,7,7,0,86,4,793,2008-12-08T21:00:00.000Z,N/A,1920s
https://en.wikipedia.org/wiki/The_Patriot_(1928_film),1000000,0,false,1,5,The Patriot,1928-01-31T21:00:00.000Z,N/A,1928-08-31T21:00:00.000Z,113,Drama,Ernst Lubitsch,"Ashley Dukes (play), Julian Johnson (titles), Hanns Kräly (adaptation), Dmitri Merezhkovsky (story), Alfred Neumann (play)","Emil Jannings, Florence Vidor, Lewis Stone, Vera Voronina",N/A,English,USA,0,0,0,tt0019257,0,0,0,0,0,67,4.2,184,1970-01-01T00:00:00.000Z,N/A,1920s
https://en.wikipedia.org/wiki/The_Racket_(1928_film),0,0,false,0,1,The Racket,1928-01-31T21:00:00.000Z,PASSED,1928-10-31T21:00:00.000Z,84,Crime,Lewis Milestone,"Bartlett Cormack (from the stage success of), Bartlett Cormack (adaptation), Del Andrews (scenario), Tom Miranda (titles)","Thomas Meighan, Louis Wolheim, Marie Prevost, G. Pat Collins","An honest police captain named McQuigg becomes a tough rival to a powerful bootlegger named Scarsi, even though McQuigg's pinches never stick because Scarsi and his organization control the corrupt politicians and judges. When Scarsi can't scare McQuigg off, he gets him transferred to a quiet police precinct in the suburbs, but McQuigg continues their war of words via a pair of wisecracking newspaper reporters. Then McQuigg catches a huge break when Scarsi's younger brother gets picked up for a hit and run accident in his precinct, putting in motion a complex plan to bring down the mobster using the reporters, a nightclub singing gold digger, the upcoming elections and Scari's own organization.",English,USA,0,6.9,620,tt0019304,100,6.9,5,5,0,77,3.6,156,1970-01-01T00:00:00.000Z,Paramount,1920s
https://en.wikipedia.org/wiki/Wings_(1927_film),2000000,0,true,2,2,Wings,1927-01-31T21:00:00.000Z,PG-13,1929-01-04T21:00:00.000Z,111,Drama,"William A. Wellman, Harry d'Abbadie d'Arrast","John Monk Saunders (story), Hope Loring (screenplay), Louis D. Lighton (screenplay), Julian Johnson (titles)","Clara Bow, Charles 'Buddy' Rogers, Richard Arlen, Jobyna Ralston","Two young men fall in love with the same same girl. After the US enters WWI, both join the Air Corps and become aces. They remain friends, but the relation to the girl threatens their friendship.",English,USA,0,7.8,7359,tt0018578,95,7.4,37,35,2,77,3.8,3320,2012-01-23T21:00:00.000Z,Unknown,1920s
https://en.wikipedia.org/wiki/In_Old_Arizona,0,1300000,false,1,5,In Old Arizona,1928-01-31T21:00:00.000Z,PASSED,1929-01-19T21:00:00.000Z,95,Romance,Irving Cummings,"O. Henry (story), Tom Barry (adaptation), Tom Barry (dialogue)","Warner Baxter, Edmund Lowe, Dorothy Burgess","Army Sergeant Mickey Dunn sets out in pursuit of the Cisco Kid, a notorious if kind-hearted and charismatic bandit of the Old West. The Kid spends much of his loot on Tonia, the woman he loves, not realizing that she is being unfaithful to him in his absence. Soon, with her oblivious paramour off plying his trade, Tonia falls in with Dunn, drawn by the allure of a substantial reward for the Kid's capture -- dead or alive. Together, they concoct a plan to ambush and do away with the Cisco Kid once and for all.",English,USA,0,5.8,586,tt0020018,56,5.4,9,5,4,45,3.1,337,2013-06-03T21:00:00.000Z,20th Century Fox,1920s
https://en.wikipedia.org/wiki/Alibi_(1929_film),0,0,false,0,3,Alibi,1929-01-31T21:00:00.000Z,TV-PG,1929-04-19T21:00:00.000Z,90,Crime,Roland West,"Roland West (screenplay), C. Gardner Sullivan (screenplay), John Griffith Wray (play), J.C. Nugent (play), Elaine S. Carrington (play), C. Gardner Sullivan (titles for silent version), Roland West (titles for silent version)","Chester Morris, Harry Stubbs, Mae Busch, Eleanor Griffith","Chick Williams, a prohibition gangster, rejoins his mob soon after being released from prison. When a policeman is murdered during a robbery, he falls under suspicion. The gangster took Joan, a policeman's daughter, to the theater, sneaked out during the intermission to commit the crime, then used her to support his alibi. The detective squad employs its most sophisticated and barbaric techniques, including planting an undercover agent in the gang, to bring him to justice.",English,USA,0,6,439,tt0019630,43,5.8,7,3,4,42,3.3,204,1970-01-01T00:00:00.000Z,United Artists,1920s
https://en.wikipedia.org/wiki/The_Broadway_Melody,0,3000000,true,1,3,The Broadway Melody,1929-01-31T21:00:00.000Z,PASSED,1929-06-05T21:00:00.000Z,100,Musical,Harry Beaumont,"Edmund Goulding (story), Sarah Y. Mason (continuity), Norman Houston (dialogue), James Gleason (dialogue)","Charles King, Anita Page, Bessie Love","Harriet and Queenie Mahoney, a vaudeville act, come to Broadway, where their friend Eddie Kerns needs them for his number in one of Francis Zanfield's shows. Eddie was in love with Harriet, but when he meets Queenie, he falls in love to her, but she is courted by Jock Warriner, a member of the New Yorker high society. It takes a while till Queenie recognizes, that she is for Jock nothing more than a toy, and it also takes a while till Harriet recognizes, that Eddie is in love with Queenie.",English,USA,0,6.4,4247,tt0019729,42,5.4,19,8,11,22,2.8,1713,2005-01-31T21:00:00.000Z,MGM,1920s
https://en.wikipedia.org/wiki/Disraeli_(1929_film),0,0,false,1,3,Disraeli,1929-01-31T21:00:00.000Z,PASSED,1929-10-31T21:00:00.000Z,90,Biography,Alfred E. Green,Julien Josephson (screen play),"George Arliss, Doris Lloyd, David Torrence, Joan Bennett","Biopic of the famed British Prime Minister focusing on his concern about Russia's growing interest in the Indian subcontinent and his attempts to buy the Suez Canal. He sees the Canal as the key strategic resource in maintaining the Empire in the East but is unpopular in many quarters. With antisemitism rife at the time, Disraeli finds little support for his plan to purchase the canal or his foreign policy in general. There is no doubt that the Russians are plotting against British interests and he is surrounded by spies, even in his office at 10 Downing St. When the Bank of England refuses to finance the purchase of the available shares he turns to private sources to raise the available cash only to find the conspirators one step ahead of him.",English,USA,0,6.4,713,tt0019823,0,0,0,0,0,0,2.5,51,2008-04-28T20:00:00.000Z,A & E,1920s
https://en.wikipedia.org/wiki/The_Love_Parade,0,0,false,0,6,The Love Parade,1929-01-31T21:00:00.000Z,APPROVED,1929-11-18T21:00:00.000Z,107,Comedy,Ernst Lubitsch,"Ernest Vajda (by), Guy Bolton (by), Leon Xanrof (from the play: ""The Prince Consort""), Jules Chancel (from the play: ""The Prince Consort"")","Maurice Chevalier, Jeanette MacDonald, Lupino Lane, Lillian Roth","Queen Louise's cabinet are worried that she will become an old maid, and are delighted when she marries the rougish Count Renard. Unfortunately, he finds his position as Queen's Consort unsatisfying and without purpose, and the marriage soon runs into difficulties.",English,USA,0,7.3,1289,tt0020112,100,7.9,6,6,0,79,3.8,401,1970-01-01T00:00:00.000Z,Paramount,1920s
https://en.wikipedia.org/wiki/The_Hollywood_Revue_of_1929,426000,1561000,false,0,1,The Hollywood Revue of 1929,1929-01-31T21:00:00.000Z,N/A,1929-11-22T21:00:00.000Z,116,Musical,Charles Reisner,"Al Boasberg (dialogue), Robert E. Hopkins (dialogue)","Conrad Nagel, Jack Benny, John Gilbert, Norma Shearer","Conrad Nagel, representing the Hollywood movie community, and Jack Benny, representing the Broadway stage community, act as the interlocutors of a musical comedy revue. A plethora of chorus boys and girls are featured front and center in some of the song and dance numbers, and provide back-up to some other acts. But the revue primarily is a vehicle to highlight a cavalcade of Hollywood movie and Broadway stage stars. One early running gag has both Nagel and Benny playing straight man to Cliff Edwards, who just wants a nice introduction to his act. Edwards would return later to be featured along with the Brox Sisters in one of the highlights of the second act, a production number around the song ""Singin' in Rain"", complete with rain soaked stage. A reprise of the song with the entire cast acts as the revue's finale.",English,USA,0,7.7,1431,tt0019993,40,5.4,5,2,3,17,3,203,1970-01-01T00:00:00.000Z,MGM,1920s
